paper_id,year,paper,status,doi,journal,system,support,promoter,tos_max_h,ch4_trajectory,co2_trajectory,primary_mechanism,source_url,notes
P2015_ZHOU,2015,"Zhou et al. - Effect of NiAl2O4 Formation on Ni/Al2O3 Stability during DRM",Included,10.1002/cctc.201500379,ChemCatChem,"Ni/Al2O3 derived from NiAl2O4",Al2O3,,100,yes,yes,mixed,https://doi.org/10.1002/cctc.201500379,"Confirmed independent full ranking inversion; Table 3 TOF at 0.5/15/40/100 h; raw table archived"
P2018_BANG,2018,"Bang et al. - Effect of acidity on Ni catalysts supported on P-modified Al2O3 for DRM",Candidate,10.1016/j.cattod.2017.08.013,Catalysis Today,Ni/P-Al2O3,"P-modified Al2O3",P,100,yes,yes,coking,https://doi.org/10.1016/j.cattod.2017.08.013,"Priority A; acidity/coke intervention"
P2020_SHEN,2020,"Shen et al. - Effects of alumina morphology on dry reforming of methane over Ni/Al2O3 catalysts",Candidate,10.1039/C9CY02093D,Catalysis Science & Technology,"Ni/Al2O3-S/F/P morphology series","Al2O3 nanosheet/nanofiber/particle",,,yes,yes,mixed,https://doi.org/10.1039/C9CY02093D,"Priority A crossover candidate; abstract states S has best catalytic activity while F has highest stability/no deactivation; numerical trajectory needed before claiming rank reversal"
P2020_HUANG,2020,"Huang et al. - High performance Ni catalysts prepared by freeze drying for efficient DRM",Candidate,10.1016/j.apcatb.2020.119109,Applied Catalysis B: Environmental,"Ni/Mg-Al mixed oxide","Mg-Al mixed oxide derived from LDH",Mg,100,yes,yes,mixed,https://doi.org/10.1016/j.apcatb.2020.119109,"Priority B / scope-edge"
P2021_DASILVA,2021,"da Silva et al. - Role of tin on Ni/Al2O3 electronic properties in DRM",Candidate,10.1016/j.apcata.2021.118129,Applied Catalysis A: General,Ni-Sn/Al2O3,Al2O3,Sn,,yes,no,coking,https://doi.org/10.1016/j.apcata.2021.118129,"Priority B; non-monotonic Sn response"
P2022_JIN,2022,"Jin et al. - ZrO2 overcoating on Ni/Al2O3 for DRM",Candidate,10.1016/j.cej.2022.135195,Chemical Engineering Journal,ZrO2-ALD/Ni/Al2O3,Al2O3,"ZrO2 overcoat",100,yes,yes,mixed,https://doi.org/10.1016/j.cej.2022.135195,"Priority A; 10-cycle overcoat positive control; initial values needed for crossover test"
P2022_KWON,2022,"Kwon et al. - NiAl2O4 as a beneficial precursor for Ni/Al2O3 in DRM",Candidate,10.1016/j.jcou.2022.102112,Journal of CO2 Utilization,"Ni/Al2O3 from NiO / non-stoichiometric / stoichiometric NiAl2O4",Al2O3,,,yes,yes,coking,https://doi.org/10.1016/j.jcou.2022.102112,"Priority A; precursor-controlled MSI comparison"
P2022_QIU,2022,"Qiu et al. - Preparation and reaction parameters on Ni/Al2O3 for DRM",Candidate,10.1016/j.ijhydene.2022.08.014,International Journal of Hydrogen Energy,Ni/Al2O3,gamma-Al2O3,,,yes,yes,coking,https://doi.org/10.1016/j.ijhydene.2022.08.014,"Priority A; six within-paper variants"
P2022_SHI,2022,"Shi et al. - Metallic Ni / nickel-phosphide synergy on NiP-x/Al2O3 for DRM",Included,10.3390/ma15093044,Materials,"NiP-x/Al2O3 (Ni/P=4,3,2)",Al2O3,"P / nickel phosphides",50,yes,yes,mixed,https://doi.org/10.3390/ma15093044,"Open-access pilot; 700 C; CH4:CO2:N2=1:1:1; WHSV 18000 mL gcat^-1 h^-1"
P2024_LI,2024,"Li et al. - Support morphological effect on coke resistance of Ni/Al2O3 in DRM",Candidate,10.1016/j.fuel.2024.130855,Fuel,Ni/Al2O3-F/W/S,"Al2O3 flower/wire/sphere morphologies",,,yes,yes,coking,https://doi.org/10.1016/j.fuel.2024.130855,"Priority A; morphology perturbation"
